sample_key,row,col,u,v,n_supporting_detections,median_area_frac
CG CL 1,0,3,3.6934722189889913,0.7163101717969671,1,0.0006542851538748878
CG CL 1,0,3,3.9244199684687446,0.7162376896935041,1,0.0006542851538748878
CG CL 1,0,0,0.6634889809253762,0.7190130805758023,1,0.0007099126365929956
CG CL 1,0,3,3.4754462871035696,0.7175364842682206,1,0.0005933598156598173
CG CL 1,0,1,1.0792382487234793,0.7209151092654816,1,0.0005933598156598173
CG CL 1,0,1,1.1727192765197982,0.7257507304415277,1,0.000704614781096033
CG CL 1,0,3,3.3632073864992407,0.72682138068533,1,0.0007496465528202156
CG CL 1,0,1,1.0528508508306664,0.7356644631197077,1,0.0010118903999198669
CG CL 1,0,1,1.1446453777321375,0.7302500768005773,1,0.0005324344774447467
CG CL 1,0,1,1.840561464531796,0.732983929423688,1,0.000850305807262506
CG CL 1,0,0,0.7169761292760086,0.7406223288213897,1,0.0014304209841799166
CG CL 1,0,3,3.093155285672961,0.7352629214322114,1,0.000680774431359701
CG CL 1,0,1,1.2119084244833895,0.7386637506432236,1,0.0007469976250717342
CG CL 1,0,2,2.71893992261104,0.7384098683111137,1,0.0007390508418262902
CG CL 1,0,3,3.6116066037044647,0.73568197068822,1,0.0006066044544022239
CG CL 1,0,0,0.8118541389099927,0.748277430580666,1,0.0013562510072224394
CG CL 1,0,1,1.24080184746373,0.7390288298962139,1,0.00055892375492956
CG CL 1,0,2,2.191699573628112,0.7527395769816186,1,0.0005933598156598173
CG CL 1,0,1,1.1452316779163418,0.7497969035969073,1,0.0002993288355783899
CG CL 1,0,1,1.8831384381463905,0.7597604087905921,1,0.0007178594198384396
CG CL 1,0,3,3.485065405310174,0.7577162508697316,1,0.0006119023098991865
CG CL 1,0,2,2.292179656195229,0.7649527075171901,1,0.0010357307496561988
CG CL 1,0,2,2.854970042173842,0.759807142695171,1,0.0005456791161871533
CG CL 1,0,3,3.338599982138773,0.7645061297614199,1,0.0004927005612175268
CG CL 1,0,2,2.632901524183415,0.764055902922604,1,0.000421179512008531
CG CL 1,0,0,0.18232619344255838,0.7670212279958861,1,0.0005907108879113359
CG CL 1,0,1,1.1972026528234574,0.7762193259246158,1,0.0011072517988651948
CG CL 1,0,0,0.31113706190504,0.771893826779832,1,0.0007072637088445143
CG CL 1,0,3,3.841116277677955,0.7752875879318392,1,0.0009403693507108711
CG CL 1,0,0,0.8981706643912273,0.7752123114929123,1,0.0006066044544022239
CG CL 1,0,1,1.4395833562287759,0.7886093702184129,1,0.0008317633130231366
CG CL 1,0,2,2.3695148610836885,0.7878711361293445,1,0.0008211676020292113
CG CL 1,0,2,2.429613784856471,0.7857516653442915,1,0.0006092533821507052
CG CL 1,0,1,1.2191825319433665,0.7875033895878458,1,0.0004741580669781575
CG CL 1,0,2,2.3414651841964993,0.7916035116701379,1,0.0007019658533475516
CG CL 1,0,2,2.5013738892166106,0.7936514001701241,1,0.000964209700447203
CG CL 1,0,3,3.943340840522901,0.7958951140619815,1,0.0007284551308323649
CG CL 1,0,3,3.602956913641815,0.7954868899467566,1,0.0005456791161871533
CG CL 1,0,0,0.0748956829186232,0.8021361137355048,1,0.0008370611685200993
CG CL 1,0,0,0.895555896340297,0.7983872265543958,1,0.0008211676020292113
CG CL 1,0,3,3.52549048294525,0.8006085648566158,1,0.0008079229632868047
CG CL 1,0,0,0.5731834785744445,0.8059987905221889,1,0.0008820929402442819
CG CL 1,0,2,2.9399799626961793,0.8106125261558232,1,0.0007231572753354023
CG CL 1,0,3,3.6466540061342267,0.8129721383497975,1,0.0006913701423536264
CG CL 1,0,1,1.3836362909885849,0.8201824478712774,1,0.0008820929402442819
CG CL 1,0,0,0.3000308977695792,0.8217172614512469,1,0.0009377204229623898
CG CL 1,0,0,0.22111642531202266,0.8178187915192873,1,0.0005271366219477841
CG CL 1,0,1,1.4976669387002224,0.8231724038958483,1,0.0008582525905079499
CG CL 1,0,2,2.4338550516913195,0.8232507951949857,1,0.0008661993737533939
CG CL 1,0,2,2.7395638157961755,0.8233859025264317,1,0.0008397100962685807
CG CL 1,0,1,1.167141647866031,0.8249996521175619,1,0.0005271366219477841
CG CL 1,0,0,0.13019774529927225,0.8415211228773897,1,0.001483399539149543
CG CL 1,0,2,2.879392908286636,0.830656941678704,1,0.0007496465528202156
CG CL 1,0,2,2.1597804882656955,0.8312107057770262,1,0.0007152104920899583
CG CL 1,0,1,1.9527265444166655,0.8325250603818225,1,0.0006224980208931119
CG CL 1,0,3,3.119853848794267,0.8335888696503695,1,0.00055892375492956
CG CL 1,0,1,1.5268053001084319,0.8380762562061254,1,0.0007708379748080661
CG CL 1,0,2,2.837703754020534,0.8379767634170461,1,0.0010039436166744229
CG CL 1,0,3,3.792559703024657,0.838320898721914,1,0.0005218387664508214
CG CL 1,0,0,0.45620096939362204,0.8506593236272133,1,0.0007522954805686969
CG CL 1,0,1,1.0766929051142262,0.8535212918791258,1,0.0010410286051531616
CG CL 1,0,1,1.210964455747959,0.8555483458321372,1,0.0009827521946865724
CG CL 1,0,2,2.504333761131971,0.8524788704568325,1,0.0006489872983779251
CG CL 1,0,3,3.125600804357719,0.8542130011279705,1,0.0004264773675054936
CG CL 1,0,1,1.4961895689211013,0.8608000530463322,1,0.000850305807262506
CG CL 1,0,1,1.5432100277677325,0.8569649882081288,1,0.00044766878949334426
CG CL 1,0,2,2.6105229061049124,0.8614291817211717,1,0.0009668586281956843
CG CL 1,0,2,2.342629846029812,0.8553201386556771,1,0.0004026370177691617
CG CL 1,0,3,3.6084204009289937,0.8603619827904317,1,0.0007549444083171782
CG CL 1,0,0,0.04408214613938761,0.8623095288869028,1,0.0004688602114811949
CG CL 1,0,2,2.301788841349162,0.8645645363605384,1,0.0007708379748080661
CG CL 1,0,1,1.4182619525840063,0.8730888065456639,1,0.001125794293104564
CG CL 1,0,3,3.205422447254553,0.8705539706184268,1,0.000704614781096033
CG CL 1,0,1,1.5604053528630706,0.8689006244713169,1,0.0004423709339963816
CG CL 1,0,2,2.708354772258085,0.8722337276774166,1,0.000826465457526174
