sample_key,row,col,algae_count
NP DL 2,0,2,38
NP DL 2,0,3,35
NP DL 2,1,0,30
NP DL 2,1,1,32
NP DL 2,1,2,40
NP DL 2,1,3,42
NP DL 2,2,0,54
NP DL 2,2,1,36
NP DL 2,2,2,10
NP DL 2,2,3,21
NP DL 2,3,0,30
NP DL 2,3,1,13
NP DL 2,3,2,7
NP DL 2,3,3,33
NP DL 3,0,0,99
NP DL 3,0,1,73
NP DL 3,0,2,88
NP DL 3,0,3,103
NP DL 3,1,0,195
NP DL 3,1,1,121
NP DL 3,1,2,150
NP DL 3,1,3,118
NP DL 3,2,0,133
NP DL 3,2,1,148
NP DL 3,2,2,93
NP DL 3,2,3,164
NP DL 3,3,0,100
NP DL 3,3,1,67
NP DL 3,3,2,30
NP DL 3,3,3,59
NP ML 1,0,0,14
NP ML 1,0,1,3
NP ML 1,0,2,5
NP ML 1,0,3,13
NP ML 1,1,0,50
NP ML 1,1,1,27
NP ML 1,1,2,40
NP ML 1,1,3,45
NP ML 1,2,0,43
NP ML 1,2,1,19
NP ML 1,2,2,41
NP ML 1,2,3,28
NP ML 1,3,0,32
NP ML 1,3,1,25
NP ML 1,3,2,23
NP ML 1,3,3,37
NP ML 2,0,0,33
NP ML 2,0,1,44
NP ML 2,0,2,30
NP ML 2,0,3,43
NP ML 2,1,0,42
NP ML 2,1,1,30
NP ML 2,1,2,58
NP ML 2,1,3,53
NP ML 2,2,0,58
NP ML 2,2,1,65
NP ML 2,2,2,36
NP ML 2,2,3,57
NP ML 2,3,0,18
NP ML 2,3,1,17
NP ML 2,3,2,21
NP ML 2,3,3,22
NP ML 3,0,0,3
NP ML 3,0,1,25
NP ML 3,0,2,14
NP ML 3,0,3,23
NP ML 3,1,0,3
NP ML 3,1,1,24
NP ML 3,1,2,31
NP ML 3,1,3,32
NP ML 3,2,0,9
NP ML 3,2,1,18
NP ML 3,2,2,44
NP ML 3,2,3,45
NP ML 3,3,0,10
NP ML 3,3,1,24
NP ML 3,3,2,24
NP ML 3,3,3,30
P CL 1,0,0,13
P CL 1,0,1,30
P CL 1,0,2,28
P CL 1,0,3,46
P CL 1,1,0,9
P CL 1,1,1,29
P CL 1,1,2,59
P CL 1,1,3,67
P CL 1,2,0,18
P CL 1,2,1,22
P CL 1,2,2,58
P CL 1,2,3,65
P CL 1,3,0,3
P CL 1,3,1,3
P CL 1,3,2,9
P CL 1,3,3,36
P CL 2,0,0,64
P CL 2,0,1,64
P CL 2,0,2,44
P CL 2,0,3,71
P CL 2,1,0,167
P CL 2,1,1,123
P CL 2,1,2,126
P CL 2,1,3,146
P CL 2,2,0,133
P CL 2,2,1,126
P CL 2,2,2,102
P CL 2,2,3,121
P CL 2,3,0,97
P CL 2,3,1,65
P CL 2,3,2,70
P CL 2,3,3,78
P CL 3,0,0,44
P CL 3,0,1,35
P CL 3,0,2,43
P CL 3,0,3,38
P CL 3,1,0,94
P CL 3,1,1,80
P CL 3,1,2,52
P CL 3,1,3,129
P CL 3,2,0,71
P CL 3,2,1,100
P CL 3,2,2,88
P CL 3,2,3,47
P CL 3,3,0,95
P CL 3,3,1,59
P CL 3,3,2,27
P CL 3,3,3,65
P DL 1,0,0,45
P DL 1,0,1,52
P DL 1,0,2,48
P DL 1,0,3,40
P DL 1,1,0,69
P DL 1,1,1,85
P DL 1,1,2,86
P DL 1,1,3,102
P DL 1,2,0,98
P DL 1,2,1,115
P DL 1,2,2,91
P DL 1,2,3,99
P DL 1,3,0,100
P DL 1,3,1,109
P DL 1,3,2,115
P DL 1,3,3,93
P DL 2,0,0,52
P DL 2,0,1,61
P DL 2,0,2,67
P DL 2,0,3,55
P DL 2,1,0,93
P DL 2,1,1,86
P DL 2,1,2,83
P DL 2,1,3,117
P DL 2,2,0,105
P DL 2,2,1,115
P DL 2,2,2,92
P DL 2,2,3,153
P DL 2,3,0,92
P DL 2,3,1,88
P DL 2,3,2,87
P DL 2,3,3,69
P DL 3,0,0,12
P DL 3,0,1,15
P DL 3,0,2,8
P DL 3,0,3,13
P DL 3,1,0,25
P DL 3,1,1,41
P DL 3,1,2,15
P DL 3,1,3,18
P DL 3,2,0,32
P DL 3,2,1,56
P DL 3,2,2,38
P DL 3,2,3,20
P DL 3,3,0,28
P DL 3,3,1,15
P DL 3,3,2,17
P DL 3,3,3,15
P ML 1,0,0,7
P ML 1,0,1,7
P ML 1,0,2,13
P ML 1,0,3,17
P ML 1,1,0,5
P ML 1,1,1,0
P ML 1,1,2,4
P ML 1,1,3,9
P ML 1,2,0,4
P ML 1,2,1,5
P ML 1,2,2,11
P ML 1,2,3,5
P ML 1,3,0,1
P ML 1,3,1,1
P ML 1,3,2,1
P ML 1,3,3,2
P ML 2,0,0,10
P ML 2,0,1,23
P ML 2,0,2,28
P ML 2,0,3,45
P ML 2,1,0,29
P ML 2,1,1,26
P ML 2,1,2,22
P ML 2,1,3,26
P ML 2,2,0,39
P ML 2,2,1,32
P ML 2,2,2,27
P ML 2,2,3,9
P ML 2,3,0,3
P ML 2,3,1,14
P ML 2,3,2,11
P ML 2,3,3,5
P ML 3,0,0,5
P ML 3,0,1,7
P ML 3,0,2,17
P ML 3,0,3,5
P ML 3,1,0,11
P ML 3,1,1,7
P ML 3,1,2,3
P ML 3,1,3,19
P ML 3,2,0,0
P ML 3,2,1,11
P ML 3,2,2,11
P ML 3,2,3,2
P ML 3,3,0,8
P ML 3,3,1,4
P ML 3,3,2,1
P ML 3,3,3,7
